registerNum,country1,country2,dateBegan,dateEnded,durationDays,peopleDead,peopleDisplaced,damageUsd,mainCause1,mainCause2,mainCause3,severity,affectedSqKm,magnitude,centroidX,centroidY
2106,Indonesia,,12/15/2002,12/20/2002,6,0,60000,,Heavy Rain,,,large,21909.34,5.118780545,100.517,0.977528
2105,Sri Lanka,,12/16/2002,12/20/2002,5,2,500000,,Heavy Rain,,,large,14147.74,4.849657074,80.9935,8.4736
2104,United States,,12/14/2002,12/24/2002,11,6,0,,Heavy Rain,,,large,44627.03,5.69099067,-122.478,38.9397
2103,France,,12/13/2002,12/14/2002,2,2,0,,Heavy Rain,,,large,1292.7,3.412527744,4.14588,43.7308
2102,Indonesia,,12/11/2002,12/15/2002,5,28,0,,Heavy Rain,,,large,648.179,3.510664961,112.39,-7.44041
2101,Brazil,,12/9/2002,12/11/2002,3,39,2000,,Heavy Rain,,,extreme,82.0525,2.692243068,-44.3263,-23.0153
2100,Greece,Macedonia,12/6/2002,12/10/2002,5,0,0,,Heavy Rain,,,large,1029.56,3.711621666,22.3897,40.1572
2099,Italy,,11/22/2002,12/3/2002,12,0,10000,350000000,Heavy Rain,,,large,29901.95,5.554880757,8.64237,45.8293
2098,Malaysia,,11/19/2002,11/26/2002,8,0,400,,Heavy Rain,,,large,1235.54,3.994946797,102.695,2.40946
2097,Morocco,,11/24/2002,11/29/2002,6,63,0,,Heavy Rain,,,extreme,40845.92,5.690329928,-7.0988,33.1091
2096,United States,,11/23/2002,11/25/2002,3,0,0,,Heavy Rain,,,large,1721.59,3.713050986,-151.454,59.9306
2095,Indonesia,,11/19/2002,12/3/2002,15,12,117000,,Heavy Rain,,,extreme,17006.86,5.707745391,97.4355,3.11309
2094,Costa Rica,Panama,11/23/2002,12/13/2002,21,8,7000,,Heavy Rain,,,extreme,2203.32,4.966326867,-83.0841,9.82661
2093,Somalia,,11/8/2002,11/21/2002,14,0,0,,Heavy Rain,,,large,65263.03,5.960795269,42.3967,1.42576
